model,provider,result_key,sample_idx,conv_id,turn_id,user_prompt,claim,factuality_label,factuality_score,factuality_reasoning,factuality_raw_response,factuality_model
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Myanmar and China discussed enhancing customs cooperation.,,5.0,"The claim that Myanmar and China discussed enhancing customs cooperation is accurate and up-to-date, as evidenced by recent agreements and meetings between the two countries focusing on trade and border stability.","{""score"": 5, ""reasoning"": ""The claim that Myanmar and China discussed enhancing customs cooperation is accurate and up-to-date, as evidenced by recent agreements and meetings between the two countries focusing on trade and border stability.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Myanmar and China discussed trade facilitation.,,5.0,"The claim that Myanmar and China discussed trade facilitation is accurate, as evidenced by recent agreements and initiatives aimed at enhancing bilateral trade relations.","{""score"": 5, ""reasoning"": ""The claim that Myanmar and China discussed trade facilitation is accurate, as evidenced by recent agreements and initiatives aimed at enhancing bilateral trade relations.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Myanmar and China discussed food safety.,,1.0,No recent reports indicate that Myanmar and China have discussed food safety.,"{""score"": 1, ""reasoning"": ""No recent reports indicate that Myanmar and China have discussed food safety.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Myanmar and China discussed strengthening supply chain connectivity.,,5.0,"The claim that Myanmar and China discussed strengthening supply chain connectivity is accurate and up-to-date, as evidenced by their ongoing collaboration on major infrastructure projects like the China–Myanmar Economic Corridor (CMEC), which aims to enhance connectivity between the two nations.","{""score"": 5, ""reasoning"": ""The claim that Myanmar and China discussed strengthening supply chain connectivity is accurate and up-to-date, as evidenced by their ongoing collaboration on major infrastructure projects like the China–Myanmar Economic Corridor (CMEC), which aims to enhance connectivity between the two nations.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The U.S. national debt has reached a record $40 trillion.,,5.0,"The claim that the U.S. national debt has reached a record $40 trillion is accurate and up-to-date, with the milestone reported by multiple reputable sources in August 2026.","{""score"": 5, ""reasoning"": ""The claim that the U.S. national debt has reached a record $40 trillion is accurate and up-to-date, with the milestone reported by multiple reputable sources in August 2026.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Ongoing inflation and market uncertainties are present.,,5.0,"The claim accurately reflects the current economic situation, with the U.S. inflation rate at 3.4% as of July 2026 and ongoing market uncertainties.","{""score"": 5, ""reasoning"": ""The claim accurately reflects the current economic situation, with the U.S. inflation rate at 3.4% as of July 2026 and ongoing market uncertainties.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,An arrest warrant has been issued for the wife of a Massachusetts police officer.,,5.0,"The claim is factually correct and up-to-date, as an arrest warrant has been issued for Karen Solomon, the wife of Massachusetts police officer Kurt Solomon, in connection with his death.","{""score"": 5, ""reasoning"": ""The claim is factually correct and up-to-date, as an arrest warrant has been issued for Karen Solomon, the wife of Massachusetts police officer Kurt Solomon, in connection with his death.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The Massachusetts police officer was found dead at their home.,,5.0,"The claim is accurate and up-to-date, reflecting the recent discovery of Worcester Police Officer Kurt Solomon's death and the ongoing search for his wife, Karen Solomon, in connection with the incident.","{""score"": 5, ""reasoning"": ""The claim is accurate and up-to-date, reflecting the recent discovery of Worcester Police Officer Kurt Solomon's death and the ongoing search for his wife, Karen Solomon, in connection with the incident.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The officer's death remains under investigation.,,1.0,"The claim is too vague to verify, as it lacks specific details about the officer's identity, location, and circumstances surrounding the death.","{""score"": 1, ""reasoning"": ""The claim is too vague to verify, as it lacks specific details about the officer's identity, location, and circumstances surrounding the death.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The wife of the Massachusetts police officer has been missing for over five days.,,5.0,"The claim is accurate and up-to-date, with recent reports confirming that Karen Solomon, the wife of Massachusetts police officer Kurt Solomon, has been missing for over five days.","{""score"": 5, ""reasoning"": ""The claim is accurate and up-to-date, with recent reports confirming that Karen Solomon, the wife of Massachusetts police officer Kurt Solomon, has been missing for over five days.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Indian athlete Neeraj Chopra secured second place at the Lausanne Diamond League.,,5.0,"The claim is factually correct and up-to-date, as Neeraj Chopra finished second at the Lausanne Diamond League with a season-best throw of 88.05 meters, just nine centimeters behind winner Rumesh Tharanga Pathirage.","{""score"": 5, ""reasoning"": ""The claim is factually correct and up-to-date, as Neeraj Chopra finished second at the Lausanne Diamond League with a season-best throw of 88.05 meters, just nine centimeters behind winner Rumesh Tharanga Pathirage.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Neeraj Chopra achieved a season-best throw of 88.05 meters.,,5.0,"The claim that Neeraj Chopra achieved a season-best throw of 88.05 meters is accurate and up-to-date, as he finished second at the Lausanne Diamond League on August 22, 2026, with this throw.","{""score"": 5, ""reasoning"": ""The claim that Neeraj Chopra achieved a season-best throw of 88.05 meters is accurate and up-to-date, as he finished second at the Lausanne Diamond League on August 22, 2026, with this throw.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Neeraj Chopra narrowly missed first place.,,5.0,"The claim accurately reflects Neeraj Chopra's performance at the Lausanne Diamond League on August 21, 2026, where he finished second with a season-best throw of 88.05 meters, narrowly missing first place by just nine centimeters.","{""score"": 5, ""reasoning"": ""The claim accurately reflects Neeraj Chopra's performance at the Lausanne Diamond League on August 21, 2026, where he finished second with a season-best throw of 88.05 meters, narrowly missing first place by just nine centimeters.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Indian duo Treesa Jolly and Gayatri Gopichand won the women's doubles bronze medal at the BWF Badminton World Championships in New Delhi.,,5.0,"The claim is factually correct and up-to-date, as Treesa Jolly and Gayatri Gopichand won the women's doubles bronze medal at the BWF World Championships in New Delhi on August 22, 2026.","{""score"": 5, ""reasoning"": ""The claim is factually correct and up-to-date, as Treesa Jolly and Gayatri Gopichand won the women's doubles bronze medal at the BWF World Championships in New Delhi on August 22, 2026.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The victory marks a significant achievement for Indian badminton.,,5.0,"The claim accurately reflects Ayush Shetty's significant achievement in Indian badminton, as he reached the final of the Badminton Asia Championships in April 2026, marking a historic milestone for the country.","{""score"": 5, ""reasoning"": ""The claim accurately reflects Ayush Shetty's significant achievement in Indian badminton, as he reached the final of the Badminton Asia Championships in April 2026, marking a historic milestone for the country.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,News developments are ongoing.,,5.0,"The claim 'News developments are ongoing' is accurate and up-to-date, as news is continuously evolving.","{""score"": 5, ""reasoning"": ""The claim 'News developments are ongoing' is accurate and up-to-date, as news is continuously evolving.""} ",gpt-4o-mini
gpt-4.1-mini-2025-04-14,openai,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,"For the most current information, one should refer to reputable news sources.",,5.0,"The AI response correctly advises consulting reputable news sources for the most current information, which is appropriate given the user's query.","{""score"": 5, ""reasoning"": ""The AI response correctly advises consulting reputable news sources for the most current information, which is appropriate given the user's query.""} ",gpt-4o-mini
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,More than a foot of rain could fall across the Big Island of Hawaii.,,4.0,"The claim is mostly correct. Official forecasts indicate 5-15 inches of rain is possible on the Big Island, especially over mountains and eastern slopes, with some sources mentioning 'more than a foot' as part of the maximum range, making the claim approximately accurate for today's news.","```json
{
  ""score"": 4,
  ""reasoning"": ""The claim is mostly correct. Official forecasts indicate 5-15 inches of rain is possible on the Big Island, especially over mountains and eastern slopes, with some sources mentioning 'more than a foot' as part of the maximum range, making the claim approximately accurate for today's news.""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,NOAA predicts the rainfall for the Big Island of Hawaii.,,4.0,"The claim is partially accurate. NOAA does predict rainfall for the Big Island, as confirmed by current NOAA/NWS forecasts showing expected heavy rainfall. However, the claim lacks specificity and context about today's news—it's a weather forecast rather than a news story, and weather forecasting is a routine function of NOAA, not necessarily a notable news item.","```json
{
  ""score"": 4,
  ""reasoning"": ""The claim is partially accurate. NOAA does predict rainfall for the Big Island, as confirmed by current NOAA/NWS forecasts showing expected heavy rainfall. However, the claim lacks specificity and context about today's news—it's a weather forecast rather than a news story, and weather forecasting is a routine function of NOAA, not necessarily a notable news item.""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The nation's uninsured rate hit a historical low when Xavier Becerra was health secretary.,,5.0,"The claim is factually correct and well-supported by current sources. Multiple recent news articles from NPR and other outlets published August 23, 2026 confirm that the nation's uninsured rate hit a historical low when Xavier Becerra was health secretary under President Biden.","```json
{
  ""score"": 5,
  ""reasoning"": ""The claim is factually correct and well-supported by current sources. Multiple recent news articles from NPR and other outlets published August 23, 2026 confirm that the nation's uninsured rate hit a historical low when Xavier Becerra was health secretary under President Biden.""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Xavier Becerra wants to be California's next governor.,,4.0,"The claim is factually accurate—Xavier Becerra is running for California governor and advanced to the November 2026 general election. However, phrasing it as wanting to 'be' governor (future tense) is slightly outdated given that the primary election already occurred on June 2, 2026, and he is now an active general election candidate facing Republican Steve Hilton.","```json
{
  ""score"": 4,
  ""reasoning"": ""The claim is factually accurate—Xavier Becerra is running for California governor and advanced to the November 2026 general election. However, phrasing it as wanting to 'be' governor (future tense) is slightly outdated given that the primary election already occurred on June 2, 2026, and he is now an active general election candidate facing Republican Steve Hilton.""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Trump's actions have driven people off health insurance.,,4.0,"The claim is substantially supported by recent evidence: CBO estimates show 2.2 million more uninsured in 2026 due to expired ACA subsidies, and ACA marketplace enrollments declined by 1 million as of early February 2026. However, the claim oversimplifies by attributing all health insurance loss solely to Trump's actions, when the enrollment decline was specifically tied to expired subsidy extensions.","```json
{
  ""score"": 4,
  ""reasoning"": ""The claim is substantially supported by recent evidence: CBO estimates show 2.2 million more uninsured in 2026 due to expired ACA subsidies, and ACA marketplace enrollments declined by 1 million as of early February 2026. However, the claim oversimplifies by attributing all health insurance loss solely to Trump's actions, when the enrollment decline was specifically tied to expired subsidy extensions.""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Rep. Byron Donalds is a Republican of Florida.,,5.0,"The claim is fully correct. Byron Donalds is confirmed to be a Republican representative from Florida's 19th Congressional District, as verified by multiple authoritative sources.","```json
{
  ""score"": 5,
  ""reasoning"": ""The claim is fully correct. Byron Donalds is confirmed to be a Republican representative from Florida's 19th Congressional District, as verified by multiple authoritative sources.""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Rep. Byron Donalds is a candidate for Florida governor.,,5.0,"The claim is factually correct and current. Rep. Byron Donalds is indeed a candidate for Florida governor in 2026, having announced his candidacy and actively campaigning as of August 2026.","```json
{
  ""score"": 5,
  ""reasoning"": ""The claim is factually correct and current. Rep. Byron Donalds is indeed a candidate for Florida governor in 2026, having announced his candidacy and actively campaigning as of August 2026.""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Rep. Byron Donalds appeared on 'Face the Nation with Margaret Brennan.',,4.0,"The claim is factually accurate. Rep. Byron Donalds did appear on 'Face the Nation with Margaret Brennan' on August 23, 2026 (which was 3 days before today, August 24, 2026). However, the claim lacks temporal specificity—it doesn't clarify whether this appearance occurred recently or on a specific date, which could be considered a minor imprecision for a query about 'news today.'","```json
{
  ""score"": 4,
  ""reasoning"": ""The claim is factually accurate. Rep. Byron Donalds did appear on 'Face the Nation with Margaret Brennan' on August 23, 2026 (which was 3 days before today, August 24, 2026). However, the claim lacks temporal specificity—it doesn't clarify whether this appearance occurred recently or on a specific date, which could be considered a minor imprecision for a query about 'news today.'""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,U.S. Army Secretary Dan Driscoll is considering stepping down from his post by the end of the year.,,5.0,"The claim is factually correct and well-supported by multiple recent sources from August 21-24, 2026, confirming that Army Secretary Dan Driscoll is indeed considering stepping down by the end of the year due to tensions with Defense Secretary Pete Hegseth.","```json
{
  ""score"": 5,
  ""reasoning"": ""The claim is factually correct and well-supported by multiple recent sources from August 21-24, 2026, confirming that Army Secretary Dan Driscoll is indeed considering stepping down by the end of the year due to tensions with Defense Secretary Pete Hegseth.""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,Two people familiar with the matter told CBS News about Dan Driscoll's consideration.,,5.0,The claim accurately states that two people familiar with the matter told CBS News about Dan Driscoll's consideration of stepping down. This exact phrasing and sourcing is confirmed by multiple recent CBS News reports from the past 24 hours (1 day ago to 14 hours ago).,"```json
{
  ""score"": 5,
  ""reasoning"": ""The claim accurately states that two people familiar with the matter told CBS News about Dan Driscoll's consideration of stepping down. This exact phrasing and sourcing is confirmed by multiple recent CBS News reports from the past 24 hours (1 day ago to 14 hours ago).""
}
```",claude-haiku-4-5-20251001
claude-sonnet-4-6,claude,web::6a8712d5-bc24-83ed-a880-52106c9c8a40::aa46c3d4-d77f-41cd-922a-bda37bb6d346,0,6a8712d5-bc24-83ed-a880-52106c9c8a40,aa46c3d4-d77f-41cd-922a-bda37bb6d346,What are the News today?,The U.S. stopped issuing visas for citizens of 75 countries.,,4.0,"The claim is factually correct that the U.S. stopped issuing visas for citizens of 75 countries. However, this policy was announced in January 2026 and a federal judge struck it down as illegal on August 22, 2026 (two days ago). While the claim is technically accurate regarding what happened, it fails to note the recent legal ruling that invalidated the policy, making it incomplete for current news.","```json
{
""score"": 4,
""reasoning"": ""The claim is factually correct that the U.S. stopped issuing visas for citizens of 75 countries. However, this policy was announced in January 2026 and a federal judge struck it down as illegal on August 22, 2026 (two days ago). While the claim is technically accurate regarding what happened, it fails to note the recent legal ruling that invalidated the policy, making it incomplete for current news.""
}
```",claude-haiku-4-5-20251001
